MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading
338231679,2024-06-15T17:55:05,37.91251,-122.34635,0.0,360.0,511.0
367634160,2024-06-15T17:55:07,37.86509,-122.49240,0.0,360.0,511.0
338493401,2024-06-15T17:55:10,37.82249,-122.43090,5.8,295.9,277.0
367108460,2024-06-15T17:55:16,37.92394,-122.37268,0.0,351.7,511.0
367369720,2024-06-15T17:55:08,37.90566,-122.37194,0.1,11.2,240.0
367396670,2024-06-15T17:55:19,37.82183,-122.31108,0.0,360.0,511.0
368053480,2024-06-15T17:55:17,37.91410,-122.35199,0.0,360.0,511.0
366999891,2024-06-15T17:55:21,37.83287,-122.47761,0.0,360.0,511.0
338241391,2024-06-15T17:55:31,37.87191,-122.46135,0.0,360.0,511.0
338396171,2024-06-15T17:55:50,37.86015,-122.48076,0.0,360.0,511.0
338311146,2024-06-15T17:55:23,37.80711,-122.44049,0.0,168.7,511.0
367607810,2024-06-15T17:55:37,37.91228,-122.34680,0.0,0.0,511.0
366862670,2024-06-15T17:55:50,37.70005,-122.32573,0.3,148.4,511.0
338231129,2024-06-15T17:55:58,37.91107,-122.34627,3.9,225.3,227.0
373943000,2024-06-15T17:55:37,37.70055,-122.31649,0.1,98.8,151.0
338310088,2024-06-15T17:55:47,37.86459,-122.49050,0.0,360.0,511.0
367301480,2024-06-15T17:56:02,37.80709,-122.39857,7.0,170.9,162.0
367776410,2024-06-15T17:56:14,37.81630,-122.37309,0.1,44.6,511.0
368212750,2024-06-15T17:56:09,37.77452,-122.38452,0.0,360.0,511.0
366864140,2024-06-15T17:56:28,37.81015,-122.41133,0.0,41.7,511.0
366999891,2024-06-15T17:56:32,37.83288,-122.47761,0.0,360.0,511.0
369914102,2024-06-15T17:56:23,37.86513,-122.49384,0.0,360.0,511.0
366849420,2024-06-15T17:56:34,37.92405,-122.37267,0.0,226.3,227.0
518100257,2024-06-15T17:56:55,37.85730,-122.47697,0.0,23.7,511.0
338355544,2024-06-15T17:56:40,37.86310,-122.44916,3.2,70.4,511.0
367417740,2024-06-15T17:55:47,37.84250,-122.32910,6.7,254.9,511.0
367581220,2024-06-15T17:56:26,37.81900,-122.30893,0.0,261.1,277.0
366969980,2024-06-15T17:56:36,37.86872,-122.43534,0.1,297.8,336.0
338412656,2024-06-15T17:55:08,37.84114,-122.31214,0.0,360.0,511.0
367178390,2024-06-15T17:55:24,37.78772,-122.26892,5.2,313.3,511.0
367396790,2024-06-15T17:55:55,37.81898,-122.30926,0.0,360.0,170.0
368364820,2024-06-15T17:55:03,37.78068,-122.38562,0.0,360.0,511.0
338210857,2024-06-15T17:55:11,37.81042,-122.38368,9.5,300.7,511.0
368369320,2024-06-15T17:55:19,37.82351,-122.47200,8.4,256.3,511.0
338110000,2024-06-15T17:55:07,37.92122,-122.36969,0.0,329.0,129.0
538005771,2024-06-15T17:57:15,37.76983,-122.35130,0.0,230.8,158.0
368168710,2024-06-15T17:56:16,37.83561,-122.39620,4.1,355.1,511.0
366742520,2024-06-15T17:57:06,37.84999,-122.47354,5.7,139.8,511.0
368093850,2024-06-15T17:57:06,37.87135,-122.44399,9.5,171.5,511.0
338398241,2024-06-15T17:57:09,37.75691,-122.30224,1.4,141.9,511.0
367776410,2024-06-15T17:55:04,37.81630,-122.37309,0.0,360.0,511.0
338210857,2024-06-15T17:57:14,37.81294,-122.38967,9.7,296.6,511.0
338137783,2024-06-15T17:56:51,37.86473,-122.49431,0.0,360.0,511.0
367330510,2024-06-15T17:57:10,37.82201,-122.31169,0.0,360.0,292.0
366969970,2024-06-15T17:55:16,37.94530,-122.50872,0.0,136.2,317.0
367093090,2024-06-15T17:57:21,37.85909,-122.48050,0.0,0.0,124.0
338096706,2024-06-15T17:57:28,37.82873,-122.42027,1.0,324.6,511.0
368292670,2024-06-15T17:55:17,37.80700,-122.39692,7.9,324.3,329.0
368126190,2024-06-15T17:57:30,37.91484,-122.36170,0.0,280.3,173.0
338219736,2024-06-15T17:55:18,37.84891,-122.40209,4.6,172.8,511.0
338181691,2024-06-15T17:55:31,37.81489,-122.45493,1.6,104.6,97.0
338238538,2024-06-15T17:55:33,37.83315,-122.39772,4.0,63.4,511.0
338424526,2024-06-15T17:57:18,37.83752,-122.39620,6.6,0.7,511.0
366961920,2024-06-15T17:55:25,37.79822,-122.39401,0.1,202.4,511.0
368035410,2024-06-15T17:57:30,37.85909,-122.48138,0.0,191.5,511.0
563142100,2024-06-15T17:57:45,37.80815,-122.33892,0.0,186.0,235.0
338428465,2024-06-15T17:55:28,37.87101,-122.46183,0.0,360.0,511.0
367303000,2024-06-15T17:56:03,37.77401,-122.24170,0.1,121.0,153.0
366969980,2024-06-15T17:55:35,37.86876,-122.43533,0.1,311.0,336.0
338486373,2024-06-15T17:55:38,37.73244,-122.30932,0.2,150.3,511.0
338428831,2024-06-15T17:55:38,37.78510,-122.26739,0.0,38.4,511.0
367027000,2024-06-15T17:56:02,37.86505,-122.49351,0.0,360.0,511.0
368045490,2024-06-15T17:55:37,37.91123,-122.34876,0.0,360.0,511.0
367330510,2024-06-15T17:56:00,37.82202,-122.31169,0.0,360.0,292.0
338169735,2024-06-15T17:57:24,37.90872,-122.38000,4.0,41.3,511.0
338229881,2024-06-15T17:56:19,37.86463,-122.49005,0.0,360.0,511.0
367768090,2024-06-15T17:55:56,37.87098,-122.40717,3.2,43.8,511.0
338500514,2024-06-15T17:56:12,37.90857,-122.45914,0.5,209.7,511.0
338132901,2024-06-15T17:55:51,37.87125,-122.46228,0.0,276.4,511.0
477891200,2024-06-15T17:55:01,37.79393,-122.30719,0.0,208.3,289.0
368341690,2024-06-15T17:55:40,37.80929,-122.41261,0.0,125.6,143.0
368341690,2024-06-15T17:56:41,37.80929,-122.41262,0.0,125.6,143.0
368164150,2024-06-15T17:55:44,37.86448,-122.48777,0.0,49.0,511.0
338184357,2024-06-15T17:55:46,37.83961,-122.39469,4.1,3.0,511.0
